DefectID,DefectNumberOf,DefectCombination
0,0,0000000000000000000
2,1,0000000001000000000
1,1,0000000000000010000
4,1,0100000000000000000
3,1,0001000000000000000
6,2,0000000001000100000
10,2,0001000000000010000
5,2,0000000001000010000
12,2,0010001000000000000
7,2,0000000100001000000
9,2,0000011000000000000
11,2,0001000001000000000
8,2,0000000100010000000
13,3,0000000100001010000
28,3,0101001000000000000
15,3,0000000100010010000
14,3,0000000100001100000
23,3,0001000001000100000
18,3,0000000101001000000
27,3,0100010000000100000
21,3,0000010100010000000
25,3,0001000100010000000
17,3,0000000100011000000
24,3,0001000100001000000
26,3,0100000100010000000
20,3,0000010100001000000
19,3,0000000101010000000
22,3,0001000001000010000
16,3,0000000100010100000
36,4,0001000100011000000
42,4,0100010100010000000
40,4,0001001001000010000
35,4,0001000100010100000
34,4,0001000100010010000
31,4,0000010100010010000
30,4,0000000101011000000
33,4,0001000100001100000
37,4,0001000101001000000
29,4,0000000101010100000
41,4,0001010100010000000
32,4,0000010100011000000
39,4,0001000110001000000
43,4,0101000100010000000
38,4,0001000101010000000
54,5,0001000110001100000
50,5,0001000101001100000
55,5,0001000111001000000
57,5,0001010110001000000
58,5,0100010100011000000
48,5,0000101100011000000
44,5,0000000101011010000
53,5,0001000101011000000
51,5,0001000101010010000
59,5,0100011100010000000
60,5,0101000100011000000
62,5,0101010100010000000
49,5,0001000100011100000
46,5,0000010100011010000
61,5,0101000101010000000
45,5,0000000101011100000
47,5,0000010100011100000
52,5,0001000101010100000
56,5,0001001101010000000
78,6,0101000101010100000
77,6,0101000101010010000
68,6,0001000111001100000
65,6,0001000101011100000
84,6,0101101100010000000
83,6,0101011100010000000
85,6,1100001100110000000
81,6,0101001100011000000
82,6,0101001101010000000
75,6,0001010111001000000
64,6,0001000101011010000
73,6,0001010100011100000
79,6,0101000101011000000
76,6,0001011110001000000
66,6,0001000110011100000
63,6,0000010101011010000
74,6,0001010101011000000
70,6,0001001101010010000
71,6,0001001101011000000
80,6,0101001100010010000
67,6,0001000111001000100
72,6,0001001111001000000
69,6,0001001101001100000
98,7,1100001100110100000
91,7,0001010111001100000
87,7,0001000111011100000
89,7,0001001111001100000
99,7,1100001100111000000
96,7,0101011100010100000
95,7,0101001101011000000
94,7,0101001101010100000
86,7,0000011101011010000
92,7,0101000101011100000
93,7,0101001100011100000
88,7,0001001101011100000
97,7,0101011100011000000
90,7,0001001111011000000
100,8,0001001111011100000
102,8,0101001101011010000
103,8,0101001101011100000
104,8,0101011101010001000
105,8,1100001100111100000
106,8,1100001101111000000
101,8,0001010111001100100
